PRICE LIST,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
E CODE,PRICE,UPDATE DATE,PRODUCT NAME,PROV,CATEGORY,SUB CATEGORY,SIZE
1,2.175,9/26/2019,ELITE X TALL MAXI  BOX 13X12X31 PK 150/300,CALIFORNIA PACKAGING - CALIFORNIA,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
1,1.05,2011-03-01 00:00:00,ELITE X TALL MAXI  BOX 13X12X31 PK 150/300,CALIFORNIA PACKAGING - NEW JERSEY,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
1,1.48,1/22/2020,ELITE X TALL MAXI  BOX 13X12X31 PK 150/300,DPS / MAC PAPERS,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
1,1.25,7/29/2008,ELITE X TALL MAXI  BOX 13X12X31 PK 150/300,I.C INDT // MIAMI CORRUGATED CONTAINER CORP,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
1,1.642,2017-01-07 00:00:00,ELITE X TALL MAXI  BOX 13X12X31 PK 150/300,PCA - MIAMI,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
1,1.23,2010-08-10 00:00:00,ELITE X TALL MAXI  BOX 13X12X31 PK 150/300,ROCK TENN,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
4,1.27,10/26/2023,ELITE LG MAXI BOX 13  X12 X26,CALIFORNIA PACKAGING - CALIFORNIA,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
4,1.27,10/18/2023,ELITE LG MAXI BOX 13  X12 X26,CALIFORNIA PACKAGING - CHICAGO,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
4,1.41,3/20/2023,ELITE LG MAXI BOX 13  X12 X26,CALIFORNIA PACKAGING - MIAMI,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
4,1.27,11/22/2023,ELITE LG MAXI BOX 13  X12 X26,CALIFORNIA PACKAGING - NEW JERSEY,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
4,1.27,11/22/2023,ELITE LG MAXI BOX 13  X12 X26,CALIFORNIA PACKAGING - TEXAS,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
4,1.27,10/30/2023,ELITE LG MAXI BOX 13  X12 X26,CALIFORNIA PACKAGING - WASHINGTON,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
4,1.49,10/28/2024,ELITE LG MAXI BOX 13  X12 X26,DPS / MAC PAPERS,PRODUCTION HARD GOODS,"BOXES , DISPLAY & CORNER BOARDS",UNID
