Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,PRODUCTS LIST,,,
,,,,
,,,,
,E CODE,PRODUCT NAME,SIZE,REF IMG
,1,ELITE X TALL MAXI  BOX 13X12X31 PK 150/300,UNID,
,4,ELITE LG MAXI BOX 13  X12 X26,UNID,
,8,ELITE T  BOX   13 X 12 X12,UNID,
,10,1/2 BODY DRY PACK 23 1/8*54 KR REF 23979 PK 500,UNID,
,11,1/2 COVER DRY PACK  41*10*7 WH REF 22891 PK 500,UNID,
,12,1/4 BODY DRY PACK 16 1/8 *48 1/8 KR REF 90600,UNID,
,13,1/4 COVER DRY PACK 41*10*4 WH REF 90601 PK 540,UNID,
,17,ARRG LARGE/TALL  BOX  23 X 17 X 18,UNID,
,20,"GENERIC K BOX 27"" TALL - KRAFT 15X13X27  PK 500",UNID,
,24,BUCKETS PACNET HARD 3GL BL RMP 12003,UNID,
,27,HAND SOAP 1GL PK 4 (CPC61036483CT),BOX,
,33,BOX KNIFE CUTTER METAL STANLEY,UNID,
,35,BOX CUTTER REFILS STANLEY PK 100,BOX,
,36,KNIFE PROD RED /ORANGE PK 10,UNID,
,38,POKON CCC CHRYSAL CLEAR BARRELS 52 GL,DRUM,
,40,POKON CHRYSAL CLEAR 5 GR PK 2000,UNID,
,44,10 GR FLOWER FOOD CHRYSAL POKON 2XEC  PK 1000,UNID,
,47,GLOVES TWO SIDED PVC DOTS LARGE PK 480,UNID,
,48,GLOVES TWO SIDED PVC DOTS MEDIUM PK 480,UNID,
,51,GLOVES WHITE COTTON LARGE / MEN PK 600,UNID,
,52,GLOVES WHITE COTTON MEDIUM / WOMEN PK 600,UNID,
,60,"MEDIUM BASKET 6"" OPEN XMAS & DEC  W/ HANDLE",UNID,
,66,"MEDIUM BASKET 6"" OPEN SUMMER",UNID,
,72,CATTAILS SMALL PENCIL DARK BROWN  PK 4000,UNID,
,75,CURLY TING TING SILVER SPARKLE,UNID,
,76,CURLY TING TING NATURAL,POUN,
,77,WHEAT TRITICUM NATURAL PK 50 / 60-70 ST,BOX,
,82,GLOVES BLUE NITRILE GRIPSTRONG LARGE PK 1000,UNID,
,84,4*3 LABEL THERMAL TRANSFER WHITE E/1870,ROLL,
,85,4*3 LABEL THERMAL TRANSFER YELLOW E/O 2000,ROLL,
,86,4*3 LABEL THERMAL TRANSFER LIGHT PINK E/O 2000,ROLL,
,87,4*3 LABEL THERMAL TRANSFER GREEN E/O 2000,ROLL,
,88,4*3 LABEL THERMAL TRANSFER ORANGE E/ 2000,ROLL,
,89,UPC 2*1.3 LABEL THERMAL TEAR OFF WH PK4 E/O 8600,ROLL,
,91,UPC WINN DIXIE 2 X 2 1/8 LABEL E/5500 PK 4,ROLL,
,92,"LINERS WET PACK 30X32"" TALL - HPE 15 MIC PK 500",UNID,
,93,LINERS ARRANGEMENT 40 X 48 - 12 MICR PK 250/500,UNID,
,96,PALLETS REGULAR B GRADE 48 X 40 PK 520 / 616 / 786,UNID,
,98,NON PERFORATED HAND PAPER TOWEL ROLL WHITE PK 6,BOX,
,99,"JUMBO TOILET TISSUE 2PLY - 12"" DIAMETER GJO2510012",BOX,
,100,PARTITION 6 CELL / WET BOX & T BOX & R BOX,UNID,
,101,PARTITION 9 CELL / WET BOX  & T BOX & R BOX,UNID,
,102,PARTITION 4 CELL/ WET BOX  & T BOX,UNID,
,107,"PLANTS STAKES 18"" GREEN PK 4000",UNID,
,108,"CLEAR SLEEVE 12"" // 4X16X12 PK 2000",UNID,
,109,"CLEAR SLEEVE 14"" // 4X16X14 PK 1000",UNID,
,110,"CLEAR SLEEVE 16"" // 4X16X16 PK 2000",UNID,
,111,"CLEAR SLEEVE 18"" // 5X18X18 PK 1000",UNID,
,112,"CLEAR SLEEVE 20"" // 5X18X20 PK 1000",UNID,
,114,EUROWRAP LAVANDER W/OUT HOLE,UNID,
,117,EUROWRAP DARK GREEN W/OUT HOLE,UNID,
,125,FINE WRAP DARK GREEN W/OUT HOLE,UNID,
,132,INDUSTRIAL STAPLES  C-58 PK 10-  E/BOX 2000 UNITS,BOX,
,133,"HEAVY DUTY TAPE DISPENSER 2""",UNID,
,134,"SEALING TAPE 2"" X 110YR  INTERTAPE C-400 PK36",ROLL,
